heating
retrofit,4747.531659949441,7939.095792258262,11130.659924567084
CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,11130.659924567084,11130.659924567084,11130.659924567084
retrofit,4747.531659949441,7939.095792258262,11130.659924567084
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,165062.50323395626,168844.879593877,173170.02307836103
retrofit,48856.46568381219,73259.03925241766,98323.70310417496
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,19795.708211575795,20944.388786699707,22101.666949956147
retrofit,6407.097958410269,11005.847855873475,16181.266145533498
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,83428.04935959307,91250.93058946596,97940.41980545294
retrofit,68101.78820651186,74740.05090189468,85559.60366110719
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,12544.87041665318,13729.973476814645,14924.292292479313
retrofit,6801.084699185604,10517.015723209137,14578.553869997068
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,73317.59607675516,79930.44520823476,86178.00585406477
retrofit,65598.38895037092,71285.67099273403,80614.28477004514
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,11051.794310767671,12270.38330999161,13501.672570524825
retrofit,7083.066641805659,10097.99420153532,13438.008713307318
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,104089.2454984561,107844.61662347561,111459.52407915003
retrofit,51608.25138184891,80926.8745480602,110406.34611611292
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly)  IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,8561.858573527566,9539.689918345899,10519.876514954829
retrofit,6907.7526206632065,8516.981217021963,10483.922239943215
TOTAL [kWh],min,avg,max
no retrofit,539365.682592889,562504.5956983228,584599.0100389479
retrofit,321299.60457001725,397383.62681539624,486784.3641646319
windowglazing
CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3646.453769563452,5074.506850204977,9358.666092129553
retrofit,4200.658916835831,5571.161535844097,9682.669392868893
CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3200.973677584561,4679.861298034764,9116.524159385373
retrofit,3692.374910929645,5116.377705550244,9388.386089412043
